Registration Number,Location Status,Licensee Name,Call Sign,Earth Station Latitude DMS,Earth Station Longitude DMS,Earth Station Latitude Decimal,Earth Station Longitude Decimal,Lower Frequency (MHz),Upper Frequency (MHz),Pointing Azimuth (degrees),Pointing Elevation Angle (degrees),Antenna Gain (dBi),Earth Station Site Elevation (meters),Earth Station Height AGL (meters),Earth Station Height AMSL (meters),GSO Satellite Longitude Decimal Degrees,Use for Tracking Telemetry and Command,Certification Date,Registration Last Updated,Call Sign Last Updated
FSS0001661,Inactive,"SES Americom, INC",E180341,"N39 22' 36""","W77 04' 50""",39.38,-77.08,"3,700.00","4,200.00",102.3,5.8,41.5,610,4.9,614.9,-6,FALSE,2/5/2020,11/16/2022 11:49,11/16/2022 11:49
FSS0001663,Inactive,"SES Americom, INC",E180341,"N39 22' 36""","W77 04' 50""",39.38,-77.08,"3,700.00","4,200.00",258.3,5.2,36,610,2.4,612.4,-149,FALSE,2/5/2020,11/16/2022 11:49,11/16/2022 11:49
FSS0001665,Inactive,"SES Americom, Inc",E180379,"N38 46' 59.8""","W77 34' 23""",38.78,-77.57,"3,700.00","4,200.00",102.4,6.4,44.2,93,5.2,98.2,7,FALSE,2/5/2020,11/16/2022 11:49,11/16/2022 11:49
FSS0001667,Inactive,"SES Americom, Inc",E180380,"N39 22' 33""","W77 04' 49""",39.38,-77.08,"3,700.00","4,200.00",258.3,5.2,44,610,5.1,615.1,-149,FALSE,2/5/2020,11/16/2022 11:48,11/16/2022 11:48
FSS0001669,Inactive,"SES Americom, Inc",E180400,"N39 22' 34""","W77 04' 49""",39.38,-77.08,"3,700.00","4,200.00",258.3,5.2,40.4,610,3.4,613.4,149,TRUE,2/5/2020,11/16/2022 11:48,11/16/2022 11:48
FSS0001671,Inactive,"SES Americom, Inc",E180421,"N39 22' 39""","W77 04' 48""",39.38,-77.08,"3,700.00","4,200.00",102.3,5.8,47.8,640,7.6,647.6,-6,FALSE,2/5/2020,11/16/2022 11:47,11/16/2022 11:47
FSS0001673,Inactive,"SES Americom, Inc",E180422,"N39 22' 37""","W77 04' 49""",39.38,-77.08,"3,700.00","4,200.00",258.3,5.2,47.8,620,7.6,627.6,-149,FALSE,2/5/2020,11/16/2022 11:47,11/16/2022 11:47
FSS0001675,Inactive,SES Americom Inc,E940156,"N34 19' 30""","W118 59' 43.5""",34.33,-119,"3,700.00","4,200.00",108.7,16.9,53.5,304.8,11.2,316,-60,TRUE,2/5/2020,11/16/2022 11:47,11/16/2022 11:47
FSS0001677,Inactive,SES Americom Inc,E980076,"N38 47' 01""","W77 34' 23""",38.78,-77.57,"3,700.00","4,200.00",111.7,16.4,50.5,86.5,10.2,96.7,-20,TRUE,2/5/2020,11/16/2022 11:46,11/16/2022 11:46
FSS0001680,Inactive,SES Americom Inc,KA272,"N34 19' 31""","W118 59' 44.4""",34.33,-119,"3,700.00","4,200.00",257.8,10.3,57.5,311.5,37.8,349.3,8,TRUE,2/6/2020,11/16/2022 11:52,11/16/2022 11:52
FSS0001682,Inactive,SES Americom Inc,KB27,"N34 19' 31""","W118 59' 44.4""",34.33,-119,"3,625.00","4,200.00",257.8,8.6,53.2,307,14.9,321.9,8,TRUE,2/6/2020,11/16/2022 11:51,11/16/2022 11:51
FSS0001684,Active,SES Americom Inc,KB27,"N34 19' 31""","W118 59' 44.4""",34.33,-119,"3,625.00","4,200.00",104.1,11.1,53.5,307,14.9,321.9,53,TRUE,10/27/2023,10/27/2023 9:48,10/27/2023 9:48
